门店名称,区,详细地址,经度,纬度
乐刻运动健身(莘庄维璟印象城店),闵行区,‍七莘路1507号维璟印象城五楼乐刻健身,121.363671,31.130864
乐刻运动健身(鑫都满天星广场店),闵行区,鑫都路2562号鑫都商业广场2号楼2楼乐刻健身房,121.395672,31.056097
乐刻运动健身(闵行乐虹坊店),闵行区,虹井路288号3层303室(龙柏新村地铁站2号口步行80米),121.371519,31.176809
乐刻运动健身(闵行永德路地铁站店),闵行区,莲花南路3999号满天星生活广场F2层,121.445460,31.039622
乐刻运动健身(韩国街井亭天地广场店),闵行区,虹泉路1078号井亭天地广场二楼(奥乐齐楼上),121.373013,31.169846
乐刻运动健身(龙湖虹桥天街购物中心店),闵行区,新虹街道(龙湖虹桥天街购物中心A馆店)B1层35A乐刻私教馆,121.313116,31.191621
乐刻运动健身(龙盛国际商业广场店),闵行区,都市路3759号龙盛国际商业广场F2层,121.399234,31.085823
乐刻运动健身(新尚生活广场店),青浦区,华新镇华志路789号新尚生活广场3层309-310室,121.225951,31.231297
乐刻健身(上海协信星光广场北里店),静安区,江场路1228弄上海协信星光广场北里L2层,121.457589,31.297313
乐刻健身(中信泰富广场店),静安区,南京西路1168号中信泰富广场4层,121.455611,31.228503
乐刻运动健身(丽丰天际中心店),静安区,天目西路街道天目西路99号丽丰天际中心F2层,121.458775,31.246425
乐刻运动健身(金融街融悦中心店),静安区,沪太路300号金融街融悦中心F3层,121.452841,31.253355
乐刻运动健身(静安区汾西路店),静安区,汾西路490号,121.457010,31.313621
乐刻运动健身(静安嘉里合集店),静安区,梅园路270号(上海火车站地铁站5号口步行310米),121.457794,31.244988
乐刻运动健身(静安大润发闸北店),静安区,共和新路3318号2楼,121.448112,31.297423
乐刻健身(来福士广场商务楼店),黄浦区,西藏中路268号来福士广场1层(MANNER咖啡旁),121.476486,31.232902
乐刻运动健身(LUONE凯德晶萃店),黄浦区,徐家汇路268号LU·ONE凯德晶萃广场F3层,121.477099,31.210370
乐刻运动健身(打浦桥日月光精品店),黄浦区,徐家汇路618号5楼,121.467988,31.206463
乐刻运动健身(湖滨道购物中心精品馆),黄浦区,湖滨路150号企业天地5号楼湖滨道购物中心B2层E12,121.478988,31.220655
乐刻运动健身(绿地外滩中心精品馆),黄浦区,王家码头路188号GLBC MALL4层404室,121.503780,31.216140
乐刻运动健身(老西门南六MIX馆),黄浦区,西藏南路686号南六广场B1层,121.483664,31.216997
乐刻运动健身(金玉兰广场店),黄浦区,打浦路1号四楼(打浦桥地铁站2号口步行150米),121.470235,31.204906
